U(V)	I(10,000E-3)	dI
-6,00000000000E+1	1,50263059241E-5	6,20750263249E-9
-5,80000000000E+1	1,48318169130E-5	3,50263978321E-9
-5,60000000000E+1	1,46463638201E-5	5,26062527223E-9
-5,40000000000E+1	1,44696216461E-5	4,03710267133E-9
-5,20000000000E+1	1,43003608403E-5	3,67843296401E-9
-5,00000000000E+1	1,41179536251E-5	5,00076896272E-9
-4,80000000000E+1	1,39385138260E-5	4,47476564653E-9
-4,60000000000E+1	1,37570632076E-5	4,88188770445E-9
-4,40000000000E+1	1,35720600302E-5	3,72604632669E-9
-4,20000000000E+1	1,33771516222E-5	3,84685758454E-9
-4,00000000000E+1	1,31891514322E-5	2,82004496262E-9
-3,80000000000E+1	1,29967709795E-5	4,18409285241E-9
-3,60000000000E+1	1,27981507313E-5	4,47520495979E-9
-3,40000000000E+1	1,25967600024E-5	5,08246030584E-9
-3,20000000000E+1	1,23979452508E-5	2,57187121943E-9
-3,00000000000E+1	1,21892404806E-5	2,83031128912E-9
-2,80000000000E+1	1,19827154464E-5	3,26070532974E-9
-2,60000000000E+1	1,17675843770E-5	2,54876433017E-9
-2,40000000000E+1	1,15290486579E-5	3,47739633127E-9
-2,20000000000E+1	1,13047160008E-5	3,34178612392E-9
-2,00000000000E+1	1,10706029951E-5	3,30808826623E-9
-1,80000000000E+1	1,08379620956E-5	4,64017219157E-9
-1,60000000000E+1	1,06001628637E-5	3,60239610318E-9
-1,40000000000E+1	1,03698946275E-5	4,01778163707E-9
-1,20000000000E+1	1,01213360622E-5	2,88079949702E-9
-1,00000000000E+1	9,88166611926E-6	2,76828014200E-9
-8,00000000000E+0	9,62558539341E-6	2,21268515869E-9
-6,00000000000E+0	9,36849206133E-6	2,77776006420E-9
-4,00000000000E+0	9,10801507948E-6	2,22568228804E-9
-2,00000000000E+0	8,84930078093E-6	3,14640596558E-9
0,00000000000E+0	8,58457002999E-6	3,04617882849E-9
2,00000000000E+0	8,30377751282E-6	3,50574415659E-9
4,00000000000E+0	8,02882135908E-6	2,81675804028E-9
6,00000000000E+0	7,74686175358E-6	3,19373397950E-9
8,00000000000E+0	7,45981106066E-6	2,61218569464E-9
1,00000000000E+1	7,17355766388E-6	2,05881711876E-9
1,20000000000E+1	6,88816720281E-6	2,37954364468E-9
1,40000000000E+1	6,60584421846E-6	2,90791653964E-9
1,60000000000E+1	6,31590300891E-6	2,85950862423E-9
1,80000000000E+1	6,02454094506E-6	2,04260641196E-9
2,00000000000E+1	5,72824869188E-6	2,42129276121E-9
2,20000000000E+1	5,43857407430E-6	1,82451079255E-9
2,40000000000E+1	5,13971467907E-6	2,32315761219E-9
2,60000000000E+1	4,84876490445E-6	2,02560276563E-9
2,80000000000E+1	4,55492618152E-6	2,11785633162E-9
3,00000000000E+1	4,26291898123E-6	3,87795105253E-9
3,20000000000E+1	3,97585399493E-6	2,53587045827E-9
3,40000000000E+1	3,69659456327E-6	2,85791410389E-9
3,60000000000E+1	3,43379154609E-6	2,03442905350E-9
3,80000000000E+1	3,19345899913E-6	2,68628693475E-9
4,00000000000E+1	2,98509869861E-6	2,65426992344E-9
4,20000000000E+1	2,80901242624E-6	2,29593751773E-9
4,40000000000E+1	2,67373657109E-6	1,82270346689E-9
4,60000000000E+1	2,57216601157E-6	1,82931327731E-9
4,80000000000E+1	2,50082103107E-6	2,23870959415E-9
5,00000000000E+1	2,45208900034E-6	1,52326155229E-9
5,20000000000E+1	2,43550211499E-6	1,72798797412E-9
5,40000000000E+1	2,44463486799E-6	1,69269518214E-9
5,60000000000E+1	2,46883198062E-6	2,00944988492E-9
5,80000000000E+1	2,50561994898E-6	1,69889116825E-9
6,00000000000E+1	2,55192170221E-6	3,13026057279E-9
