U(V)	I(100,000E-3)	dI
-5,00000000000E+1	2,48180730387E-5	1,83918005043E-9
-4,75000000000E+1	2,47897436863E-5	2,17085551628E-9
-4,50000000000E+1	2,47643129096E-5	4,68772834890E-9
-4,25000000000E+1	2,47382129231E-5	2,03123312667E-9
-4,00000000000E+1	2,47117823344E-5	1,71769137100E-9
-3,75000000000E+1	2,46845520561E-5	1,69410004383E-9
-3,50000000000E+1	2,46576459767E-5	1,66759003823E-9
-3,25000000000E+1	2,46291245080E-5	1,97103932378E-9
-3,00000000000E+1	2,46008295784E-5	1,67734255579E-9
-2,75000000000E+1	2,45730749800E-5	1,91454053313E-9
-2,50000000000E+1	2,45444822685E-5	1,72324406527E-9
-2,25000000000E+1	2,45154797063E-5	1,75222701176E-9
-2,00000000000E+1	2,44850386634E-5	2,00848139020E-9
-1,75000000000E+1	2,44529686232E-5	1,69657884258E-9
-1,50000000000E+1	2,44217086794E-5	1,72337091956E-9
-1,25000000000E+1	2,43892544045E-5	1,79398939650E-9
-1,00000000000E+1	2,43544370829E-5	1,70345894277E-9
-7,50000000000E+0	2,43207492533E-5	1,68566394382E-9
-5,00000000000E+0	2,42864618570E-5	1,61294461283E-9
-2,50000000000E+0	2,42486883263E-5	1,73029569229E-9
0,00000000000E+0	2,42113446593E-5	1,90294909003E-9
2,50000000000E+0	2,41745757446E-5	1,83423568402E-9
5,00000000000E+0	2,41343839345E-5	1,85911290115E-9
7,50000000000E+0	2,40953216165E-5	1,83357809123E-9
1,00000000000E+1	2,40537697747E-5	1,78002615220E-9
1,25000000000E+1	2,40100958341E-5	1,76158794269E-9
1,50000000000E+1	2,39643990557E-5	1,86164970404E-9
1,75000000000E+1	2,39197205013E-5	2,19392738479E-9
2,00000000000E+1	2,38734025438E-5	2,01617111728E-9
2,25000000000E+1	2,38260695656E-5	1,87058947175E-9
2,50000000000E+1	2,37749798883E-5	1,89872842564E-9
2,75000000000E+1	2,37231505589E-5	1,99459350117E-9
3,00000000000E+1	2,36715389637E-5	2,34415752540E-9
3,25000000000E+1	2,36154326179E-5	2,30221334583E-9
3,50000000000E+1	2,35591613722E-5	1,81986985850E-9
3,75000000000E+1	2,34990629847E-5	1,81921695806E-9
4,00000000000E+1	2,34388909533E-5	1,74813601509E-9
4,25000000000E+1	2,33763294606E-5	1,73249172055E-9
4,50000000000E+1	2,33112400217E-5	1,89555203140E-9
4,75000000000E+1	2,32434393248E-5	1,92134713005E-9
5,00000000000E+1	2,31742753950E-5	2,22219324888E-9
5,25000000000E+1	2,31011154212E-5	2,12466088614E-9
5,50000000000E+1	2,30252145716E-5	2,69798058458E-9
5,75000000000E+1	2,29489887249E-5	2,71664909639E-9
6,00000000000E+1	2,28700188009E-5	1,93670001892E-9
6,25000000000E+1	2,27892685894E-5	2,59282332534E-9
6,50000000000E+1	2,27046864352E-5	2,21528647213E-9
6,75000000000E+1	2,26170392078E-5	3,10355993486E-9
7,00000000000E+1	2,25281728368E-5	3,71224173467E-9
7,25000000000E+1	2,24370338779E-5	3,39670322047E-9
7,50000000000E+1	2,23411376111E-5	4,17993981642E-9
7,75000000000E+1	2,22458625270E-5	4,07436893064E-9
8,00000000000E+1	2,21435831611E-5	4,87115848471E-9
